ACCESSION_NUMBER	SECURITY_ID	SECURITIESISSUERNAME	SECURITIESISSUERTITLE	SECURITIESISSUEDTOTALAMOUNT	SECURITIESPRINCIPALHOLDERAMT	SECURITIESISSUEDAGGREGATEAMT	AGGREGATECONSIDERATIONBASIS
0001264931-22-000090	1	Water Technologies International, Inc.	COMMON STOCK	266709702	82500000	$491,686; pursuant to contract terms, determination of the board of directors	$82,000; pursuant to contract terms, conversion of preferred stock; determination of board of directors
0001683168-22-002080	1	Smart Decision, Inc.	Convertible Promissory Notes	661000	0	411000	
0001493152-22-007962	1	Masterworks 118, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 118, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001213900-22-015617	3	Crush Capital Inc. (formerly known as Trojan Horse Media Group LLC)	Series A-1 Preferred Stock and Warrants	7303000	0	$3,000,072, representing a per share purchase price of $0.4108 for 7,303,000 shares. Warrants were also issued that are exercisable to purchase 3,651,493 shares of Non-Voting Common Stock at a per share exercise price of $0.4108. No additional consideration was received in connection with the issuance of Warrants.	0
0001213900-22-015617	1	Crush Capital Inc. (formerly known as Trojan Horse Media Group LLC)	Series A-1 Preferred Stock and Warrants	7303000	0	$3,000,072, representing a per share purchase price of $0.4108 for 7,303,000 shares. Warrants were also issued that are exercisable to purchase 3,651,493 shares of Non-Voting Common Stock at a per share exercise price of $0.4108. No additional consideration was received in connection with the issuance of Warrants.	0
0001213900-22-015617	2	Crush Capital Inc. (formerly known as Trojan Horse Media Group LLC)	Series A-1 Preferred Stock and Warrants	7303000	0	$3,000,072, representing a per share purchase price of $0.4108 for 7,303,000 shares. Warrants were also issued that are exercisable to purchase 3,651,493 shares of Non-Voting Common Stock at a per share exercise price of $0.4108. No additional consideration was received in connection with the issuance of Warrants.	0
0001104659-22-038862	1	TriplePulse, Inc.	Common Stock	2370019	0	$598,627.08 for 1,662,853 shares @ $0.36 per share and $297,273.60 for 762,240 shares @ $0.39 per share.	
0001096906-22-000661	3	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000661	4	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000661	2	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000661	5	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000661	1	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001104659-22-038843	3	Smart Rx Systems, Inc.	Class A Super Voting Convertible Common Stock	20700	0	During 2021, we issued a total of 20,700 Class A common shares to our Directors Roman Rohatgi and David Van Valkenburg, which are intended for key employees or contractors, and directors, under the Key Plan, for the consideration of an aggregate of $2.07 in cash. Such stock has a par value $0.0001 per share, pursuant to awards granted to directors or new officers, and key contractors and key employees under the Key Plan. The purchase price of $0.0001 per share was determined by our board of directors at the time of the origination of the Key Plan. Such shares of stock have ten to one super-voting rights and ten to one conversion rights.	
0001104659-22-038843	1	Smart Rx Systems, Inc.	Class A Super Voting Convertible Common Stock	20700	0	During 2021, we issued a total of 20,700 Class A common shares to our Directors Roman Rohatgi and David Van Valkenburg, which are intended for key employees or contractors, and directors, under the Key Plan, for the consideration of an aggregate of $2.07 in cash. Such stock has a par value $0.0001 per share, pursuant to awards granted to directors or new officers, and key contractors and key employees under the Key Plan. The purchase price of $0.0001 per share was determined by our board of directors at the time of the origination of the Key Plan. Such shares of stock have ten to one super-voting rights and ten to one conversion rights.	
0001104659-22-038843	2	Smart Rx Systems, Inc.	Class A Super Voting Convertible Common Stock	20700	0	During 2021, we issued a total of 20,700 Class A common shares to our Directors Roman Rohatgi and David Van Valkenburg, which are intended for key employees or contractors, and directors, under the Key Plan, for the consideration of an aggregate of $2.07 in cash. Such stock has a par value $0.0001 per share, pursuant to awards granted to directors or new officers, and key contractors and key employees under the Key Plan. The purchase price of $0.0001 per share was determined by our board of directors at the time of the origination of the Key Plan. Such shares of stock have ten to one super-voting rights and ten to one conversion rights.	
0001493152-22-007846	2	Realm Metaverse Real Estate Inc.	Class A Common Stock	8188	0	$725,000	
0001493152-22-007846	1	Realm Metaverse Real Estate Inc.	Class A Common Stock	8188	0	$725,000	
0001477932-22-001657	1	The Graystone Company, Inc.	Class B Common Stock	46000000	0	Issues pursuant to an acquisition of the issuer's current subsidiary in exchange for 100% of equity of the subsidiary.	
0001477932-22-001657	2	The Graystone Company, Inc.	Class B Common Stock	46000000	0	Issues pursuant to an acquisition of the issuer's current subsidiary in exchange for 100% of equity of the subsidiary.	
0001477932-22-001653	1	Starfleet Innotech, Inc.	Common stock, Series A Preferred	772287038	0	0	
0001575705-22-000218	1	Winners, Inc.	Common Stock	90500000	0	$4,525,000; board of directors determination	0
0001104659-22-037662	1	StartEngine Collectibles Fund I LLC	Series Wine #2020PAVIE, Series Wine #2020CHBL, Series Wine #2020AUSO, Series Wine #2020ANGE, and Series Wine #2020CERT	90650	0	$10 per share	
0001829126-22-006715	3	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	4	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	6	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	7	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	8	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	9	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	10	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	2	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	1	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001829126-22-006715	5	MedMen Enterprises Inc.	Warrants to purchase Shares	6682567	0	Pursuant to Third Amended & Restated Securities Purchase Agreement	
0001062993-22-008432	1	Naqi Logix Inc.	Voting Common Shares	48473874	0	USD$1,576.333.60 (assuming a conversion rate of CAD 0.80 to USD 1.00)	
0001193125-22-082827	2	Energy Exploration Technologies, Inc	Common Stock	1285607	0	4465844	120000
0001193125-22-082827	1	Energy Exploration Technologies, Inc	Common Stock	1285607	0	4465844	120000
0001493152-22-007545	1	Masterworks 120, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 120, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001264931-22-000078	1	Yuka Group Inc	Convertible Note face value of $100,000	0	0	$100,000	
0001688804-22-000013	1	RSE Collection, LLC	Series #77LE1, a series of RSE Collection, LLC	2000	0	Aggregate amount: $77,700 Basis of Computing: 2000 LLC Interests at $38.85 per Interest	
0001683168-22-001857	1	FBC HOLDING, INC.	COMMON STOCK	100000000	0	100% of Common Stock of FormRunner Apparel, Inc., $100,000; determination of the board of directors	
0001104659-22-036704	1	GolfSuites 1, Inc.	Class A Preferred Stock	366926	0	366,926 shares of Class A Common Stock were sold at an average price of 8.50 per share.	
0001688804-22-000012	1	RSE Collection, LLC	Series #77LE1, a series of RSE Collection, LLC	2000	0	Aggregate amount: $77,700 Basis of Computing: 2000 LLC Interests at $38.85 per Interest	
0001096906-22-000587	2	Boxabl Inc.	Series A-1 Preferred Stock	67576080	0	$4,797,901 at $0.071 per share	
0001096906-22-000587	1	Boxabl Inc.	Series A-1 Preferred Stock	67576080	0	$4,797,901 at $0.071 per share	
0001096906-22-000587	3	Boxabl Inc.	Series A-1 Preferred Stock	67576080	0	$4,797,901 at $0.071 per share	
0001914244-22-000001	2	OneDoor Studios Entertainment Properties LLC	Company Units	1	0	0	
0001914244-22-000001	1	OneDoor Studios Entertainment Properties LLC	Company Units	1	0	0	
0001826220-22-000004	1	Decentralized Crypto Financial Inc.	common stock	300000000	0	Decentralized Crypto Financial was originally organized as an LLC in the state of DE on July 24, 2020, whereby Mr. Nicholas Scherling held 100% of the ownership interests. On August 20, 2020, the Company underwent a statutory conversion in DE, changing the legal structure of the Company from an LLC to a c-corp with 500m authorized shares. As the sole owner, CEO, chairman, and director of the Company, Mr Scherling retained 300m shares.	
0001493152-22-007417	1	Masterworks 117, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 117, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001688804-22-000011	1	RSE Collection, LLC	Series #77LE1, a series of RSE Collection, LLC	2000	0	Aggregate amount: $77,700 Basis of Computing: 2000 LLC Interests at $38.85 per Interest	
0001096906-22-000583	5	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000583	4	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000583	3	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000583	1	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001096906-22-000583	2	Tidepool Ventures 2/10/2021	Common Stock	110000000	0	$34,650	
0001829126-22-006484	1	Neon Bloom, Inc.	Common Stock	50000	0	The shares were issued for services at a price of $0.05 per share.	
0001829126-22-006484	2	Neon Bloom, Inc.	Common Stock	50000	0	The shares were issued for services at a price of $0.05 per share.	
0001079973-22-000323	1	Marijuana Co of America, Inc.	Common Stock	5317382704	0	$12,384,168 in principal for convertible securities.	
0001493152-22-007355	1	Masterworks 116, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 116, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001493152-22-007353	1	Masterworks 114, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 114, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001171520-22-000204	1	Connect Invest II LLC	Membership Interests	1000	0	$1000 (negotiated price between the issuer and buyer.)	
0001683168-22-001790	1	Zicix Corporation	COMMON STOCK	6500000	0	$6,500; pursuant to contract terms, determination of the board of directors	
0001104659-22-035714	1	Rebrain.ai Inc.	Preferred Stock	50000	0	$50,000	
0001104659-22-035773	1	Balanced Pharma Incorporated	Common Stock	904000	0	$1,504,000 at $1.66 per share	$250,000
0001104659-22-035773	2	Balanced Pharma Incorporated	Common Stock	904000	0	$1,504,000 at $1.66 per share	$250,000
0001640334-22-000529	2	BIOADAPTIVES, INC.	SERIES A PREFERRED STOCK	1600000	0	$268,500; board of directors determination	0
0001640334-22-000529	1	BIOADAPTIVES, INC.	SERIES A PREFERRED STOCK	1600000	0	$268,500; board of directors determination	0
0001683168-22-001733	1	Maison Luxe, Inc.	COMMON STOCK	835000	0	$626,000; determination of the board of directors	
0001683168-22-001733	2	Maison Luxe, Inc.	COMMON STOCK	835000	0	$626,000; determination of the board of directors	
0001493152-22-007016	1	Masterworks 112, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 112, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001493152-22-007004	1	Masterworks 119, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 119, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001493152-22-006993	1	Masterworks 111, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 111, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001493152-22-006980	1	To The Stars Inc.	Class A Common Stock, warrants and convertible note	1975790	0	$2,214,420 (1,220,136 shares at $1.20 per share; 255,654 shares at $0.001 per share; 250,000 warrants at $2 per share; 250,000 convertible note $1.00 at par)	
0001213900-22-012939	1	Delhi Bank Corp.	Common Stock	28492	0	$1,061,055. Based on market price preceding the investment date.	
0001688804-22-000010	1	RSE Collection, LLC	Series #77LE1, a series of RSE Collection, LLC	2000	0	Aggregate amount: $77,700 Basis of Computing: 2000 LLC Interests at $38.85 per Interest	
0001264931-22-000060	1	Yuka Group Inc	Convertible Note face value of $100,000	0	0	$100,000	
0001493152-22-006825	1	Masterworks 114, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 114, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001688804-22-000009	1	RSE Collection, LLC	Series #77LE1, a series of RSE Collection, LLC	2000	0	Aggregate amount: $77,700 Basis of Computing: 2000 LLC Interests at $38.85 per Interest	
0001829126-22-006024	1	Collectable Sports Assets, LLC	LLC Interests	3416732	0	29473747	
0001683168-22-001650	1	GRASS QOZF, INC.	Common Stock	140250	140250	280500	N/A
0001213900-22-012117	2	iCross Fund 4 LLC	Promissory Notes	22200000	0	22200000	
0001213900-22-012117	1	iCross Fund 4 LLC	Promissory Notes	22200000	0	22200000	
0001104659-22-033008	1	LIFT Aircraft, Inc.	Common Stock	1125322	0	$2785982.92	
0001640334-22-000473	2	Tropical Racing, Inc.	Class A common stock	4000000	0	1,200,000	
0001640334-22-000473	1	Tropical Racing, Inc.	Class A common stock	4000000	0	1,200,000	
0001493152-22-006587	1	Masterworks 116, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 116, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001683168-22-001584	3	New Frontier Energy, Inc.	Convertible Promissory Note	200000	0	$200,000 in cash, board of directors determination	
0001683168-22-001584	1	New Frontier Energy, Inc.	Convertible Promissory Note	200000	0	$200,000 in cash, board of directors determination	
0001683168-22-001584	2	New Frontier Energy, Inc.	Convertible Promissory Note	200000	0	$200,000 in cash, board of directors determination	
0001104659-22-032551	1	StartEngine Crowdfunding Inc.	Common Stock	2256274	781192	$13.50 per share, certain investors were intitled to a discount.	Same as (c)(1)
0001104659-22-032551	2	StartEngine Crowdfunding Inc.	Common Stock	2256274	781192	$13.50 per share, certain investors were intitled to a discount.	Same as (c)(1)
0001493152-22-006546	1	Masterworks 112, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 112, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001493152-22-006498	1	Masterworks 110, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 110, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001673688-22-000003	1	Medical 21, Inc.	Common Stock	2155001	0	$1,914,400	
0001493152-22-006478	1	Masterworks 115, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 115, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001683168-22-001556	2	Bear Village, Inc.	Common stock	30000000	0	0	
0001683168-22-001556	1	Bear Village, Inc.	Common stock	30000000	0	0	
0001193125-22-071463	2	Energy Exploration Technologies, Inc	Common Stock	1285607	0	4465844	120000
0001193125-22-071463	1	Energy Exploration Technologies, Inc	Common Stock	1285607	0	4465844	120000
0001493152-22-006405	1	Masterworks 111, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 111, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001214659-22-003815	4	Tuscan Gardens Senior Living Communities Inc.	Class A Non-Voting Preferred Shares $1,000 Par Value	9991000	0	9991000	
0001214659-22-003815	3	Tuscan Gardens Senior Living Communities Inc.	Class A Non-Voting Preferred Shares $1,000 Par Value	9991000	0	9991000	
0001214659-22-003815	5	Tuscan Gardens Senior Living Communities Inc.	Class A Non-Voting Preferred Shares $1,000 Par Value	9991000	0	9991000	
0001214659-22-003815	6	Tuscan Gardens Senior Living Communities Inc.	Class A Non-Voting Preferred Shares $1,000 Par Value	9991000	0	9991000	
0001214659-22-003815	7	Tuscan Gardens Senior Living Communities Inc.	Class A Non-Voting Preferred Shares $1,000 Par Value	9991000	0	9991000	
0001214659-22-003815	8	Tuscan Gardens Senior Living Communities Inc.	Class A Non-Voting Preferred Shares $1,000 Par Value	9991000	0	9991000	
0001214659-22-003815	1	Tuscan Gardens Senior Living Communities Inc.	Class A Non-Voting Preferred Shares $1,000 Par Value	9991000	0	9991000	
0001214659-22-003815	2	Tuscan Gardens Senior Living Communities Inc.	Class A Non-Voting Preferred Shares $1,000 Par Value	9991000	0	9991000	
0001493152-22-006364	1	Kolaboration Ventures Corporation	Common Stock	407494700	0	See Prior Sales Chart in Part II Offering Circular	
0001493152-22-006284	1	Masterworks 109, LLC	Membership Interests	1000	0	100% of the membership interests in Masterworks 109, LLC were issued to Masterworks Gallery, LLC in return for a capital contribution of $100	
0001683168-22-001512	1	Cloudastructure, Inc.	Units consisting of 2 shares of Class A Common Stock and 1 Warrant to purchase 1 share of Class A Common Stock	31907510	0	32,439,287 (not including an additional $3,578,478.75 from the exercise of 4,771,305 Warrants at $0.75 per Warrant).	
0001683168-22-001512	2	Cloudastructure, Inc.	Units consisting of 2 shares of Class A Common Stock and 1 Warrant to purchase 1 share of Class A Common Stock	31907510	0	32,439,287 (not including an additional $3,578,478.75 from the exercise of 4,771,305 Warrants at $0.75 per Warrant).	
0001683168-22-001512	3	Cloudastructure, Inc.	Units consisting of 2 shares of Class A Common Stock and 1 Warrant to purchase 1 share of Class A Common Stock	31907510	0	32,439,287 (not including an additional $3,578,478.75 from the exercise of 4,771,305 Warrants at $0.75 per Warrant).	
0001654954-22-002664	1	Garo Kholamian	Class A units	100	0	None	
0001654954-22-002664	6	Garo Kholamian	Class A units	100	0	None	
0001654954-22-002664	5	Garo Kholamian	Class A units	100	0	None	
0001654954-22-002664	2	Garo Kholamian	Class A units	100	0	None	
0001654954-22-002664	3	Garo Kholamian	Class A units	100	0	None	
0001654954-22-002664	4	Garo Kholamian	Class A units	100	0	None	
0001683168-22-001484	2	TRANSNATIONAL GROUP, INC.	COMMON STOCK	13639492	0	Services rendered, $.001 per share; board of directors determination	
0001683168-22-001484	6	TRANSNATIONAL GROUP, INC.	COMMON STOCK	13639492	0	Services rendered, $.001 per share; board of directors determination	
0001683168-22-001484	5	TRANSNATIONAL GROUP, INC.	COMMON STOCK	13639492	0	Services rendered, $.001 per share; board of directors determination	
0001683168-22-001484	4	TRANSNATIONAL GROUP, INC.	COMMON STOCK	13639492	0	Services rendered, $.001 per share; board of directors determination	
0001683168-22-001484	3	TRANSNATIONAL GROUP, INC.	COMMON STOCK	13639492	0	Services rendered, $.001 per share; board of directors determination	
0001683168-22-001484	1	TRANSNATIONAL GROUP, INC.	COMMON STOCK	13639492	0	Services rendered, $.001 per share; board of directors determination	
0001683168-22-001479	1	Zicix Corporation	COMMON STOCK	6500000	0	$6,500; pursuant to contract terms, determination of the board of directors	
